time_index,month_sin,month_cos,region_to,subdivision,category,is_paid,q1,q2,q3,q4,holiday_period,region_encoded,subdivision_encoded,category_encoded,is_paid_encoded,ads_cost,traffic_total,transacitons_total,revenue_total,first_transactions,repeat_transactions,revenue_first_transactions,revenue_repeat_transactions,bonus_company,promo_cost,mar_cost
32,-0.8660254037844384,-0.5000000000000004,spain,retention,Товары для праздника,non_paid,0,0,1,0,0,5,7,27,0,1283568.5361365383,23231.888151201005,2023.7710867184155,9212583.938979995,592.9477602643381,1702.2015201169165,2227270.40337508,6973941.639859399,251074.2341261221,191420.21524686576,560040.7371771662
33,-1.0,-1.8369701987210297e-16,spain,retention,Товары для праздника,non_paid,0,0,0,1,0,5,7,27,0,2106752.1076590316,26760.79273490158,2357.3985210215983,11129809.973847788,716.0546391234527,1981.7385627218357,2474368.1691930266,7352396.249303466,273328.38834171416,200429.27951518568,743798.9173654602
34,-0.8660254037844386,0.5000000000000001,spain,retention,Товары для праздника,non_paid,0,0,0,1,0,5,7,27,0,1690965.769447004,25465.315326894503,2177.2553810118034,10244695.62011281,653.3280205591172,1835.7469437718867,2231706.619918456,6777428.282885598,245510.16286271694,184798.0916537719,666383.5702843245
35,-0.5000000000000004,0.8660254037844384,spain,retention,Товары для праздника,non_paid,0,0,0,1,1,5,7,27,0,1087352.726698279,22945.632729435496,1910.405912693758,9035005.58124327,552.8974979332637,1642.6279365786563,1960355.8778673462,6271909.767309611,209966.6534809533,163441.48932757974,547511.9520494693
32,-0.8660254037844384,-0.5000000000000004,spain,retention,Хендмейд и хобби,non_paid,0,0,1,0,0,5,7,29,0,1248574.5181483806,25575.572069860842,2209.9047502852172,10016619.147241484,656.4520616443933,1848.0660471403357,2462583.6466371724,7597637.726392416,275022.68090782035,206669.04019690992,571154.9868909634
33,-1.0,-1.8369701987210297e-16,spain,retention,Хендмейд и хобби,non_paid,0,0,0,1,0,5,7,29,0,2071758.089670874,29104.476653561425,2543.5321845884,11933845.182109278,779.5589405035078,2127.6030897452547,2709681.412455119,7976092.335836483,297276.83512341237,215678.1044652298,754913.1670792575
34,-0.8660254037844386,0.5000000000000001,spain,retention,Хендмейд и хобби,non_paid,0,0,0,1,0,5,7,29,0,1655971.7514588463,27808.999245554347,2363.389044578605,11048730.8283743,716.8323219391723,1981.6114707953056,2467019.8631805484,7401124.3694186155,269458.6096444152,200046.91660381603,677497.8199981216
35,-0.5000000000000004,0.8660254037844384,spain,retention,Хендмейд и хобби,non_paid,0,0,0,1,1,5,7,29,0,1052358.708710121,25289.316648095337,2096.53957626056,9839040.789504759,616.4017993133189,1788.4924636020753,2195669.121129439,6895605.853842628,233915.10026265154,178690.3142776239,558626.2017632666
32,-0.8660254037844384,-0.5000000000000004,spain,retention,Комнатные растения,non_paid,0,0,1,0,0,5,7,12,0,1546023.6710477206,5654.258761252218,627.7686099674024,3182319.877018825,116.66549991392466,608.2175674412726,462421.0789093833,2296220.990861767,71460.88326338521,77054.02812153469,476683.86432368704
33,-1.0,-1.8369701987210297e-16,spain,retention,Комнатные растения,non_paid,0,0,0,1,0,5,7,12,0,2369207.242570214,9183.163344952796,961.396044270585,5099545.911886619,239.77237877303926,887.7546100461918,709518.8447273301,2674675.600305834,93715.03747897725,86063.09238985459,660442.0445119812
34,-0.8660254037844386,0.5000000000000001,spain,retention,Комнатные растения,non_paid,0,0,0,1,0,5,7,12,0,1953420.9043581865,7887.685936945719,781.2529042607902,4214431.558151642,177.04576020870377,741.7629910962427,466857.29545275925,2099707.633887966,65896.81199998007,70431.90452844082,583026.6974308454
35,-0.5000000000000004,0.8660254037844384,spain,retention,Комнатные растения,non_paid,0,0,0,1,1,5,7,12,0,1349807.8616094613,5368.0033394867105,514.4034359427449,3004741.5192821,76.61523758285031,548.6439839030123,195506.5534016497,1594189.1183119784,30353.30261821639,49075.30220224867,464155.0791959902
32,-0.8660254037844384,-0.5000000000000004,spain,retention,Цветы,non_paid,0,0,1,0,0,5,7,30,0,1231077.5091543016,26747.41402919076,2302.9715820686183,10418636.751372227,688.2042123344208,1920.9983106520453,2580240.268268219,7909485.769658926,286996.9042986695,214293.45267193197,576712.111747862
33,-1.0,-1.8369701987210297e-16,spain,retention,Цветы,non_paid,0,0,0,1,0,5,7,30,0,2054261.080676795,30276.318612891344,2636.5990163718006,12335862.78624002,811.3110911935354,2200.5353532569643,2827338.034086166,8287940.379102993,309251.0585142615,223302.51694025187,760470.2919361561
34,-0.8660254037844386,0.5000000000000001,spain,retention,Цветы,non_paid,0,0,0,1,0,5,7,30,0,1638474.7424647675,28980.841204884266,2456.455876362006,11450748.432505045,748.5844726291999,2054.5437343070153,2584676.484811595,7712972.412685124,281432.83303526434,207671.3290788381,683054.9448550203
