time_index,month_sin,month_cos,region_to,subdivision,category,q1,q2,q3,q4,holiday_period,time_squared,time_cubed,revenue_total
2,0.8660254037844386,0.5000000000000001,spain,paid_web,Украшения,1,0,0,0,1,4,8,3292098.2672540653
3,1.0,6.123233995736766e-17,spain,paid_web,Украшения,0,1,0,0,0,9,27,5060214.054016934
4,0.8660254037844387,-0.49999999999999983,spain,paid_web,Украшения,0,1,0,0,1,16,64,2834157.86753832
1,0.49999999999999994,0.8660254037844387,spain,paid_web,Хендмейд и хобби,1,0,0,0,1,1,1,2366627.159520517
2,0.8660254037844386,0.5000000000000001,spain,paid_web,Хендмейд и хобби,1,0,0,0,1,4,8,3292098.2672540653
3,1.0,6.123233995736766e-17,spain,paid_web,Хендмейд и хобби,0,1,0,0,0,9,27,5060214.054016934
4,0.8660254037844387,-0.49999999999999983,spain,paid_web,Хендмейд и хобби,0,1,0,0,1,16,64,2834157.86753832
1,0.49999999999999994,0.8660254037844387,spain,paid_web,,1,0,0,0,1,1,1,2366627.159520517
2,0.8660254037844386,0.5000000000000001,spain,paid_web,,1,0,0,0,1,4,8,3292098.2672540653
3,1.0,6.123233995736766e-17,spain,paid_web,,0,1,0,0,0,9,27,5060214.054016934
4,0.8660254037844387,-0.49999999999999983,spain,paid_web,,0,1,0,0,1,16,64,2834157.86753832
1,0.49999999999999994,0.8660254037844387,spain,paid_web,Комнатные растения,1,0,0,0,1,1,1,2366627.159520517
2,0.8660254037844386,0.5000000000000001,spain,paid_web,Комнатные растения,1,0,0,0,1,4,8,3292098.2672540653
3,1.0,6.123233995736766e-17,spain,paid_web,Комнатные растения,0,1,0,0,0,9,27,5060214.054016934
4,0.8660254037844387,-0.49999999999999983,spain,paid_web,Комнатные растения,0,1,0,0,1,16,64,2834157.86753832
1,0.49999999999999994,0.8660254037844387,spain,paid_web,Цветы,1,0,0,0,1,1,1,2366627.159520517
2,0.8660254037844386,0.5000000000000001,spain,paid_web,Цветы,1,0,0,0,1,4,8,3292098.2672540653
3,1.0,6.123233995736766e-17,spain,paid_web,Цветы,0,1,0,0,0,9,27,5060214.054016934
4,0.8660254037844387,-0.49999999999999983,spain,paid_web,Цветы,0,1,0,0,1,16,64,2834157.86753832
1,0.49999999999999994,0.8660254037844387,spain,partners,Декор,1,0,0,0,1,1,1,2366627.159520517
2,0.8660254037844386,0.5000000000000001,spain,partners,Декор,1,0,0,0,1,4,8,3292098.2672540653
3,1.0,6.123233995736766e-17,spain,partners,Декор,0,1,0,0,0,9,27,5060214.054016934
4,0.8660254037844387,-0.49999999999999983,spain,partners,Декор,0,1,0,0,1,16,64,2834157.86753832
1,0.49999999999999994,0.8660254037844387,spain,partners,Цветы,1,0,0,0,1,1,1,2366627.159520517
2,0.8660254037844386,0.5000000000000001,spain,partners,Цветы,1,0,0,0,1,4,8,3292098.2672540653
3,1.0,6.123233995736766e-17,spain,partners,Цветы,0,1,0,0,0,9,27,5060214.054016934
4,0.8660254037844387,-0.49999999999999983,spain,partners,Цветы,0,1,0,0,1,16,64,2834157.86753832
1,0.49999999999999994,0.8660254037844387,spain,retention,Декор,1,0,0,0,1,1,1,2366627.159520517
2,0.8660254037844386,0.5000000000000001,spain,retention,Декор,1,0,0,0,1,4,8,3292098.2672540653
3,1.0,6.123233995736766e-17,spain,retention,Декор,0,1,0,0,0,9,27,5060214.054016934
