year,month,Quarter,Halfyear,region_to,is_global,subdivision,is_paid,category,KEY_clean,is_flowers,Сумма по полю distributed_ads_cost,revenue_first_transactions,revenue_repeat_transactions,revenue_total,first_traffic,repeat_traffic,traffic_total,first_transactions,repeat_transactions,transacitons_total,ads_cost,not_ads_cost,bonus_company,promo_cost,mar_cost,date,time_index
2023,9,Q3,H2,russia,,other,non_paid,"Хендмейд, винтаж",,non_flowers,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,other,non_paid,Цветы,,flowers,0.0,29773155.0,34776968.0,64550123.0,190263.0,331999.0,522262.0,9434.738075,9936.0,19370.73808,0.0,0.0,736341.4993,354448.6673,1090790.167,2023-09-01,0.0
2023,9,Q3,H2,russia,,paid_apps,paid,Аксессуары,,non_flowers,0.0,239.0,7906.0,8145.0,197.0,1040.0,1237.0,0.25,3.3333333,3.5833333,0.0,0.0,223.0,0.0,223.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,paid_apps,paid,Вкусные наборы,,non_flowers,0.0,50852.0,317016.0,367868.0,0.0,0.0,0.0,11.97412095,69.72019326,81.69431421,0.0,0.0,8540.6667,3288.0,11828.6667,2023-09-01,0.0
2023,9,Q3,H2,russia,,paid_apps,paid,Воздушные шары,,non_flowers,0.0,142378.0,661480.0,803858.0,0.0,0.0,0.0,45.61265693,200.6560025,246.2686594,0.0,0.0,27417.8333,8238.833,35656.6663,2023-09-01,0.0
2023,9,Q3,H2,russia,,paid_apps,paid,Декор,,non_flowers,0.0,8867.0,139111.0,147978.0,407.0,3779.0,4186.0,5.0,55.083333,60.083333,303838.656,0.0,3357.5,2133.75,309329.906,2023-09-01,0.0
2023,9,Q3,H2,russia,,paid_apps,paid,Для дома,,non_flowers,0.0,7834.0,2778.0,10612.0,46.0,431.0,477.0,1.0,0.5,1.5,0.0,0.0,0.0,0.0,0.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,paid_apps,paid,Другое,,non_flowers,0.0,1445.0,455.0,1900.0,6.0,18.0,24.0,1.0,1.0,2.0,0.0,0.0,0.0,255.0,255.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,paid_apps,paid,Зоотовары,,non_flowers,0.0,0.0,0.0,0.0,22.0,50.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,paid_apps,paid,Канцелярские товары,,non_flowers,0.0,0.0,1843.0,1843.0,24.0,205.0,229.0,0.0,0.6666666,0.6666666,0.0,0.0,173.0,0.0,173.0,2023-09-01,0.0
