year,month,region_to,subdivision,category,revenue_first_transactions,revenue_repeat_transactions,Сумма по полю first_traffic,Сумма по полю repeat_traffic,traffic_total,first_transactions,repeat_transactions,transacitons_total,ads_cost,not_ads_cost,bonus_company,promo_cost,mar_cost,is_forecast,Quarter,Halfyear
2026,12,belarus,other,Длядома,12.987014957264957,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,9,belarus,other,Картины,18.920389957264955,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,other,Картины,18.920389957264955,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,11,belarus,other,Картины,18.574711385836384,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,12,belarus,other,Картины,18.920389957264955,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,9,belarus,other,Комнатныерастения,24193.165015012768,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,other,Комнатныерастения,31063.98746113609,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,11,belarus,other,Комнатныерастения,19320.753384901654,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,12,belarus,other,Комнатныерастения,24581.244050185924,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,9,belarus,other,Кондитерскиеипекарни,174331.7167321429,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,other,Кондитерскиеипекарни,219109.3452830086,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,11,belarus,other,Кондитерскиеипекарни,150854.86857738098,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,12,belarus,other,Кондитерскиеипекарни,210147.1281742424,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,9,belarus,other,Косметикаипарфюмерия,0.0,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,other,Косметикаипарфюмерия,19.035389957264954,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,11,belarus,other,Косметикаипарфюмерия,18.689711385836386,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,12,belarus,other,Косметикаипарфюмерия,19.035389957264957,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,9,belarus,other,Магазинычаяикофе,3450.40560775802,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,other,Магазинычаяикофе,2295.4757706570003,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,11,belarus,other,Магазинычаяикофе,2469.3575763114304,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,12,belarus,other,Магазинычаяикофе,3460.338814219121,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,9,belarus,other,Подарочныесертификаты,19.035389957264957,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,other,Подарочныесертификаты,19.035389957264954,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,11,belarus,other,Подарочныесертификаты,18.689711385836382,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
